person_name,user_name,email,personal_number,birth_date,address,phone_number,mac_address,ip_address,clabe,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Serafín Anel Portillo Valle,serafínanelportillovalle,serafínanelportillovalle@hotmail.com,61675914842,1979-12-28,"Privada Alemania 829 Edif. 289 , Depto. 144, San Amanda los altos, OAX 22267",679-347-0121,d5:50:08:81:6c:78,181.17.178.113,GB47WYTW9691722933283,2026-06-24 17:11:24,26066,109,771,1322238,13e12e60-5d48-4742-b8ae-a936822b6335
Guillermo López,guillermolópez,guillermolópez@gmail.com,24873746127,1912-04-11,"Calle Burkina Faso 404 Edif. 092 , Depto. 177, San Juan los bajos, AGS 43159",1-693-601-4179x0570,61:0d:98:46:62:9a,209.219.185.22,GB39QTHO7633389897718,2026-06-24 17:11:24,15969,480,699,1831307,f33ee29a-c1f1-4a4e-867f-8008ec3e210e
Porfirio Segura Gonzales,porfirioseguragonzales,porfirioseguragonzales@gmail.com,23826708770,1959-02-08,"Circunvalación Seychelles 932 129, San Julio César de la Montaña, BC 91808",+84(4)8150726910,79:8d:cc:0d:33:17,129.150.238.151,GB13YNVO8709449817831,2026-06-24 17:11:24,10789,699,25,1355637,0560a735-0187-4b03-93a1-05b4d4e2d285
Nayeli Graciela Jurado Flores,nayeligracielajuradoflores,nayeligracielajuradoflores@gmail.com,10446612565,1943-01-25,"Corredor Sur Fierro 294 837, Nueva Estados Unidos de América, SIN 60987",+00(8)5513456369,3b:9b:26:68:ba:2a,143.55.228.206,GB29UIVB8797671795818,2026-06-24 17:11:24,11847,329,794,308490,987b3208-fe1c-4415-8ba0-953c1809b9bc
Ignacio Aranda Arteaga,ignacioarandaarteaga,ignacioarandaarteaga@yahoo.com,79817709318,2011-09-01,"Avenida Tlaxcala 741 681, San María Elena los altos, YUC 26804",855.502.6961,ed:cb:cd:95:32:7f,67.215.215.171,GB12UUXC6921589300901,2026-06-24 17:11:24,21122,155,555,694542,30447f36-bf5d-4f2f-a909-704cc7821d18
Mauricio Eric Duarte,mauricioericduarte,mauricioericduarte@hotmail.com,39284600499,1927-07-23,"Andador Norte Quintana 571 387, Vieja San Vicente y las Granadinas, OAX 66698-7404",(408)785-6733x5144,e4:46:86:15:82:a5,204.208.204.134,GB65PDGA7701985757021,2026-06-24 17:11:24,19829,90,792,1152506,52a0b624-857c-4b5a-9fc1-4d05477feccd
Raúl Lozada,raúllozada,raúllozada@hotmail.com,88590039751,2002-11-12,"Continuación Sur Carvajal 762 904, Vieja Emiratos Árabes Unidos, VER 59303",(910)347-5324,db:0d:0f:de:14:c0,183.217.194.249,GB09QKED0617969822345,2026-06-24 17:11:24,8062,427,363,251401,1fc5dd61-3508-4b00-9e32-9d36900ba42b
Estela Vanegas Lara,estelavanegaslara,estelavanegaslara@yahoo.com,21200835649,1970-05-31,"Avenida Oaxaca 682 Interior 928, San Modesto los bajos, COL 32530",(950)745-6189,df:77:64:db:55:70,214.74.191.165,GB29JIOY4091827780271,2026-06-24 17:11:24,4200,201,102,942306,4f1ddf30-dd9d-4385-82bc-af8abcebe670
Emiliano Espinal Madera,emilianoespinalmadera,emilianoespinalmadera@gmail.com,79036590309,1937-09-09,"Eje vial Mauricio 395 802, San Jacobo de la Montaña, QRO 28898",1-096-575-9056,61:20:86:5d:a6:70,47.190.136.232,GB12VTZA2393471910311,2026-06-24 17:11:24,25862,589,435,762498,69a481d3-932e-449a-9e6b-0842918c6a36
Pedro David Treviño,pedrodavidtreviño,pedrodavidtreviño@gmail.com,29910910339,1983-12-08,"Viaducto Norte Marrero 720 Interior 321, Nueva Indonesia, DGO 41189",1-089-464-2284,00:c9:89:2d:45:d4,220.227.97.171,GB24DJBH9315655176837,2026-06-24 17:11:24,15839,689,648,1544786,9380fde3-b28b-4a3f-bb84-1b29b702d864
Socorro Elias Gallardo Palomino,socorroeliasgallardopalomino,socorroeliasgallardopalomino@yahoo.com,95750071359,1976-04-04,"Peatonal Alvarado 696 Interior 822, Nueva República Democrática Popular Lao, COAH 10576-8194",02159724306,07:29:05:a3:f8:dd,21.170.185.193,GB56AXVF7319321462961,2026-06-24 17:11:24,16540,12,725,981433,6bc8f31b-5c69-473f-93b4-4c998b252619
Cristian Luevano,cristianluevano,cristianluevano@gmail.com,80670780099,1972-07-29,"Circuito Portugal 950 Interior 244, San Asunción de la Montaña, CAMP 86236-0626",263.566.7924,f7:58:d4:d6:d9:12,85.56.9.119,GB28OPGO4089617717704,2026-06-24 17:11:24,23048,504,754,300419,c6fbf3aa-8bf2-4b09-9258-5c3a3d3fcdfa
Eloy Uriel Lucio,eloyuriellucio,eloyuriellucio@gmail.com,23749261782,1926-03-15,"Continuación Sur Gonzales 866 Interior 512, Nueva Venezuela, OAX 35019",944-534-0657x29492,6e:a9:4d:b7:01:38,109.117.171.182,GB62PTIC7747887835708,2026-06-24 17:11:24,9345,114,437,841682,caed5c33-664b-4155-855e-b9f459813b0b
Juana Hinojosa,juanahinojosa,juanahinojosa@hotmail.com,15477071383,1985-02-27,"Prolongación Tailandia 340 Interior 188, Vieja Nigeria, TLAX 13407-7697",515.510.1225,0d:bc:62:86:42:b9,182.44.245.192,GB80UBKX5685475544718,2026-06-24 17:11:24,24649,656,118,915497,21a06c36-280e-49af-b1dd-dcbb5fe8040f
